"","Original","Outcome","ES","TH","RRH","Prev","PrevEligible","Family","Comorbidity"
"226",5,1,0.5155833544478,0.484563800121607,0.481761721714841,0.456962301453151,1,0,0
"227",5,1,0.224014693309481,0.191978991645761,0.19044139080652,0.122968637713562,1,0,0
"228",1,1,0.522197039824686,0.459617220360539,0.471758263929002,NA,0,0,0
"229",3,0,0.553671710204461,0.482270485808259,0.582419723583174,NA,0,0,0
"230",1,0,0.471552063930496,0.410108399334686,0.449100731402214,NA,0,0,0
"231",4,0,0.136739655089632,0.152056802898894,0.14829993101498,0.0945097410086729,1,1,0
"232",5,0,0.480526617823573,0.366410475158546,0.416536771663312,0.341200354922825,1,0,0
"233",5,0,0.338874099030359,0.302999131985172,0.300672765839829,0.200221702070928,1,0,0
"234",5,0,0.144899573368429,0.147484629361663,0.134699106057288,0.0784311720566181,1,1,0
"235",1,1,0.542334813057086,0.458924379273997,0.452246020817177,NA,0,0,0
"236",5,0,0.219690344806195,0.185578022449143,0.195320107699491,0.136023566261149,1,0,0
"237",5,1,0.153039445847738,0.132494169851706,0.130100740048474,0.0876822658701906,1,1,0
"238",5,0,0.195056042622032,0.184523763640176,0.168295242847602,0.113464647945263,1,1,0
"239",5,1,0.162567731095454,0.149915203975962,0.145007198426298,0.0918994217791136,1,1,1
"240",5,0,0.173003117732145,0.148949833382453,0.147590348917115,0.102856716892507,1,1,0
"241",5,0,0.518619004012706,0.429547505432906,0.441049854190536,0.340474619757314,1,0,0
"242",5,0,0.168279246460779,0.145636128165373,0.146171111343538,0.100582538874866,1,1,0
"243",5,0,0.14069421329118,0.134943606650179,0.131117471731135,0.0872373556971346,1,1,0
"244",1,1,0.386306710974808,0.397598933477098,0.346325010770809,NA,0,1,0
"245",5,0,0.124879092599456,0.115284675795914,0.0961799298628218,0.0644287607353712,1,1,0
"246",1,1,0.326058952411683,0.221898506328197,0.267544221169411,NA,0,0,1
"247",4,1,0.852545969825628,0.803295406230302,0.835868907717654,NA,0,0,0
"248",5,0,0.522017543975432,0.409416032339627,0.464972963921825,0.467044338974669,1,0,0
"249",5,0,0.104806567369291,0.0647168607280066,0.086238882908324,0.0508802743366972,1,0,0
"250",5,0,0.26757537055696,0.197331834701946,0.226161742001258,0.155829405668376,1,0,0
"251",5,0,0.208727462016409,0.162622114244452,0.162202200318483,0.106988552835771,1,0,0
"252",5,0,0.195719634309784,0.179667458962748,0.179650967830547,0.113132264822752,1,1,0
"253",5,0,0.15690990218771,0.134970740486154,0.134601256658329,0.0927343861875676,1,1,0
"254",1,1,0.69978588295266,0.654396685102514,0.647883610106065,NA,0,0,0
"255",5,0,0.174017209610874,0.163228322074955,0.161163150983069,0.116682567336441,1,1,0
"256",5,0,0.25427637406464,0.270858975496856,0.222510866105785,0.179946149491197,1,1,0
"257",1,0,0.353393914691439,0.371264714099398,0.357876833111643,0.268859871938595,1,1,0
"258",5,0,0.305018240492224,0.342956237426647,0.294160518417936,0.278050353084366,1,1,0
"259",1,0,0.513915950499617,0.418860919906853,0.436306522687119,NA,0,0,1
"260",5,0,0.199925740959673,0.207501773199303,0.186354674956332,0.136829306410151,1,1,0
"261",1,0,0.795075438622893,0.753582364262559,0.765786808463294,NA,0,0,0
"262",5,0,0.140218883505035,0.148016119905004,0.118899658846506,0.0868648544062978,1,1,0
"263",1,1,0.766609540614897,0.726885438200379,0.756402166594677,NA,0,0,1
"264",1,0,0.29538102554606,0.302642844662044,0.27390522477759,NA,0,1,0
"265",1,0,0.7045623530114,0.62294621778591,0.682332520508177,NA,0,0,0
"266",3,1,0.742031697071883,0.703029823261984,0.752426155784999,NA,0,0,0
"267",1,0,0.423822771679854,0.439481026719153,0.347176303429371,NA,0,1,0
"268",4,0,0.483504132486316,0.403753775518889,0.457530896771377,NA,0,0,0
"269",1,1,0.850511491006381,0.8138544423094,0.822751054413019,NA,0,0,1
"270",5,1,0.418866936612722,0.348982662140611,0.36142519075004,0.318876097982228,1,0,0
"271",5,0,0.391680900657381,0.325364594937555,0.309156020334922,0.240008623857327,1,0,0
"272",5,0,0.39619305685519,0.418877043833455,0.352155011148228,0.345277668624132,1,1,0
"273",5,0,0.203323292146788,0.195973317800325,0.18629031060704,0.128575623938801,1,1,0
"274",4,0,0.406980627043025,0.411832173847043,0.379376541870719,0.256701068899648,1,1,0
"275",1,1,0.748819634795698,0.69225849797732,0.67412762470736,NA,0,0,0
"276",1,0,0.364273325449413,0.372550865618316,0.322743497331203,NA,0,0,0
"277",1,1,0.576106193814053,0.536034849835274,0.529962295061572,NA,0,0,0
"278",4,0,0.179024317347756,0.171740862637964,0.137753175065349,0.111096196251703,1,1,0
"279",5,0,0.131881985634388,0.133513445390243,0.110275396147481,0.0786989352554252,1,0,0
"280",5,1,0.405434820550968,0.419598128368991,0.360366661510366,0.27114805505999,1,1,0
"281",5,0,0.246748060075968,0.276303500347909,0.217325092916344,0.163716562003171,1,1,0
"282",1,1,0.289261306202711,0.2841679076105,0.237978625757186,NA,0,1,0
"283",1,1,0.761824204072957,0.766485763573473,0.751662084339439,NA,0,1,0
"284",4,0,0.295492147978797,0.275254896945168,0.274600779246484,NA,0,1,0
"285",5,0,0.107008864444255,0.0982934690721305,0.110190342480425,0.0574650249392502,1,1,0
"286",5,1,0.336203050170095,0.304143971554016,0.299359190138063,0.257341216259429,1,1,0
"287",1,1,0.448158007538516,0.369046721981619,0.364682011302955,NA,0,0,0
"288",5,0,0.0996814747416706,0.114206973179241,0.0955620935665644,0.0596326311338046,1,0,0
"289",5,1,0.370435028816387,0.377855411593642,0.325342610927292,0.29760988962183,1,1,0
"290",3,0,0.572912959902047,0.477788063779217,0.501349108788868,NA,0,0,0
"291",5,1,0.172837020112942,0.121547983729503,0.137577271665778,0.0987543437003187,1,0,0
"292",1,0,0.403932283968527,0.35137650928944,0.402242212391938,0.287188935664559,1,0,0
"293",5,0,0.120637559421045,0.106243295128762,0.101685751049138,0.068826689393021,1,1,0
"294",1,0,0.169668903105016,0.127985900671781,0.153186414671625,NA,0,0,0
"295",5,0,0.231219631726192,0.172768156265371,0.193323997608105,0.12454424482997,1,0,0
"296",5,0,0.222345947269422,0.199810319455946,0.232449980110264,0.141086450214368,1,1,1
"297",5,0,0.109747787836545,0.113367313604251,0.108527256630599,0.0633205850261405,1,1,0
"298",4,0,0.449100481797369,0.340644297398584,0.355310749644267,0.293887791586946,1,0,0
"299",1,1,0.563792542571263,0.492813886660072,0.516905295485004,0.424333447650789,1,0,0
"300",5,0,0.130281378352655,0.128101905108801,0.106953260449636,0.078367925301236,1,1,0
"301",5,0,0.202247844394049,0.136275776906496,0.188588669627476,0.112606967865216,1,0,0
"302",5,0,0.167213008834775,0.169183712805009,0.141534160206729,0.10326045407401,1,1,0
"303",1,1,0.751949891961428,0.743901452993286,0.759091721028398,NA,0,0,0
"304",5,0,0.279627385520488,0.205134387438997,0.216125997503749,0.151543176162544,1,0,0
"305",5,0,0.267107141350278,0.188196102141198,0.230457624319668,0.155957944098796,1,0,0
"306",4,0,0.288241494433166,0.266632241088566,0.282238464398077,NA,0,1,0
"307",5,0,0.259548916019419,0.191948279217449,0.265197682149969,0.145915572619809,1,0,1
"308",4,0,0.313647945542133,0.307675849259471,0.325461257065926,NA,0,1,0
"309",5,0,0.346996105600499,0.340855361263244,0.311334487274207,0.237313920962177,1,1,0
"310",1,0,0.340087659129338,0.298673381695952,0.295454693409891,NA,0,0,0
"311",5,1,0.197420356031089,0.191925644933804,0.173578012292425,0.114742802176074,1,1,0
"312",5,1,0.644664669659958,0.621213330964954,0.613900631858248,0.531912832895298,1,0,0
"313",5,0,0.485252678171046,0.380098798670741,0.410937167643162,0.338298210107865,1,0,0
"314",1,1,0.746430091437923,0.716903347490491,0.692992487211393,NA,0,0,0
"315",5,0,0.156487477096006,0.167112694565188,0.131057998896237,0.0881841283564701,1,1,0
